macd,macd_label,pizhut,piz_label
"Staying in just got sweeter w/ #McDelivery Night In this Thurs, 9/19! Order your favs w/ @UberEats to get free swag starting @ 5pm local time, while supplies last with $10 min purchase.",Positive,"Going out
 - expensive
 - cold
 - might run into ex

 Staying in
 - self-care
 - pizza on the couch
 - makes your insides feel warm and loved",Positive
"As part of #BeatOfMyCity we partnered w/ @Genius & @TEYANATAYLOR on Annotate For Good. A program where you drop your  knowledge on Genius to raise money to benefit 
@childrensaidnyc  What song are you going to Annotate for Good?  

Find out more ",Positive,"The first set of twins born after Super Bowl LIV kickoff are gonna be pretty lucky. Their ‘rents could score 2 tickets to Super Bowl LV in 2021, 2 years of free pizza, & $22k to kick off their college savings. You deliver the babies, we deliver the pizza. http://bit.ly/2O7O13r ",Positive
How about we get together next Thursday instead?,Positive,Ok honestly this seems doable,Positive
Introducing #BeatOfMyCity! A concert series that brings @JuiceWorlddd and @TEYANATAYLOR to their hometowns for a FREE performance! RSVP to see them live http://mcd.to/6003E7MYl ,Positive,"they’re at a pizza party

  


",Positive
Friendly nudge: You and a friend could win free McCafé for Life*.  Nominate them for doing good with #BeABrewGooder #Sweepstakes + tag @McDonalds or reply to this tweet. Rules: http://mcd.to/BeABrewGooderRules …,Positive,The answer lies within.,Neutral
"Nothing works up an appetite like swimming. Or lounging. Or tanning. Honestly, anything really. #LaborDay",Positive,"Gonna get this bread

stick.",Negative
"Share a Coke w/ your FanMates at McDonald’s®! You could WIN $20K to create your own FanMate  Experience +  chance at 1000s of instant prizes! Head in & start playing now!

See https://bit.ly/2SE3wB4  for free entry & all details.",Positive,"Like if you’ve ever...
- Eaten a whole pizza by yourself
- Ordered extra cheese
- Kept your innermost feelings hidden because you’re afraid of being vulnerable
- Had pizza for breakfast

No one will know which one you’ve done!",Positive
 +  +  =  Where will your summer road trip take you? Check out these unique U.S. restaurants that are truly a “must-see!” during your next adventure http://bit.ly/31aBcJE  AND tell us your go-to travel meal! ,Positive,It's the National Championship. Quit playing around.,Negative
Summer vibes. ,Positive,What my microwave sees when I’m reheating leftover pizza,Positive
Is there anything better than rolling down your window and being handed ? #NationalDriveThruDay,Positive,What if I... took the last slice of pizza... haha just kidding... unless?,Neutral
"When there’s no Golden Arches emoji, you improvise. Happy #WorldEmojiDay







",Positive,We caught you looking. We know they’re hot.,Positive
Thanks for celebrating #NationalFrenchFryDay with us! We hope you celebrated with someone who makes you just as happy as perfectly crispy fries.,Positive,Pilot Pete is inspiring us to consider delivery planes instead of delivery cars... #TheBachelor,Positive
Who are you going to share your fries with on #NationalFrenchFryDay? Click the button and tag them!!,Positive,"Tired: Watching football
Wired: Watching football with a stuffed crust pizza on your lap",Neutral
"Happy #NationalFrenchFryDay!  Celebrate with your BFF and get a FREE Medium Fries with any #McDelivery order through @UberEats today, 7/13, starting at 11 am local time.

Small order fee may apply. Terms apply. See Uber Eats app for details.",Positive,Okay OG Pizza Hut fans... which is the best seat?,Positive
It’s officially #NationalFrenchFryDay!  Grab a friend and then grab some of our World Famous Fries to celebrate!,Positive,These delivery instructions are getting out of hand. What’s your craziest delivery instruction?,Negative
Got my McD order thru @UberEats with $0 delivery fee today. To celebrate #NationalVideoGameDay McD & Uber Eats are giving someone my gaming setup! Share the meal youd want w/ #McDelivery #sweepstakes +tag me @McDonalds & @UberEats to enter for a chance to win #ad Rules in replies,Positive,Seeing double? Maybe you just need some pizza and a massive glass of water. #NationalHangoverDay,Positive
When you mistake the sound of your alarm for fireworks   you know it's been a long weekend. Today’s must: #McCafe #IcedCoffee,Positive,Y'all better not be thinking about starting a pizza-free diet tomorrow...,Positive
"HEADS UP tomorrow is #NationalVideoGameDay so 
@McDonalds and @UberEats are providing $0 DELIVERY FEE for every #McDelivery order placed through the Uber Eats app. #ad Terms in reply",Positive,"2019 pretty much said:

""But did you eat pizza tho?”",Neutral
Happy #FourthOfJuly! Pro tip: posting up early for a prime fireworks spot gets even better when a is involved.,Negative,"My vocabulary during the game:
-I'm so hungry
-I need a beer
-AAAAHHHHHHH
-I need another beer
-WHERE is the REMOTE?
-I'm so full",Negative
Is it a coincidence that a day at the  usually ends with a trip through the drive thru? We’re not so sure.  #FirstDayofSummer,Neutral,How many of you pizza freaks got a BINGO?,Negative
Remember all those times your dad shared his  with you? Today’s a good day to return the favor.  #HappyFathersDay,Positive,Is it possible to be all of them? Which one are you? ,Neutral
The best thing about today is it’s #NationalHamburgerDay! Celebrate accordingly. ,Positive,Merry Crustmas. ,Neutral
On behalf of all the small : #HappyMothersDay  ,Neutral, Tracker >  Tracker,Neutral
"¡Es verdad! (It’s for real!) Global menu items are coming to the U.S. with our Worldwide Favorites menu at participating McDonald’s for a limited time. Around the world is almost around the corner, starting June 5. No passport required! ",Positive,NFL Sundays do hit different.,Positive
"Don’t settle on your first meal of the day. Wake up breakfast with a delicious, freshly prepared Egg McMuffin. Which part is your fave?",Positive,"1st quarter: gonna save the rest of this pizza for after the game

Halftime: *eats the rest*",Positive
"Nobody:
Me on a #Friday:",Negative,You're lying to yourself!,Neutral
"In 2019, we’ll source more than 726 million cage-free eggs. That’s more than 2X the number of people in the US! Learn about our commitment to only using cage-free eggs by 2025: http://mcd.to/6015EjtY1 ",Positive,Is this what love feels like?,Neutral
"LAST DAY to enter to win the McDelivery Couch! Tweet the McDonald’s menu items you’d want Uber Eats to deliver to the awesome, @TreyNKennedy-tested, power reclining couch! Tag #McDeliverySweepstakes, @McDonalds and @UberEats for a chance to win. Rules: http://mcd.to/6019Ebrix ",Positive,You only have one spot left on your couch. Which player are you watching the game with?,Neutral
"Because going out is overrated. Tweet the McDonald’s menu items you’d want delivered couch side and tag #McDeliverySweepstakes, @McDonalds and @UberEats for a chance to win the McDelivery Couch. Rules: http://mcd.to/6016Ebr9m ",Positive,Game day meal prep,Neutral
"Not all heroes wear capes, but some deliver craveable food to the tricked out @LaZBoy McDelivery Couch! Tweet the McDonald’s menu items you’d want delivered couch side and tag #McDeliverySweepstakes, @McDonalds & @UberEats for a chance to win it. Rules: http://mcd.to/6014Eb1cO ",Positive,Her: He’s probably cheating on me. Him:,Neutral
What would your go-to flavor be?,Neutral,1 should literally be illegal.,Neutral
"Full disclosure: #ShakeSauce isn’t real. But if it did exist IRL, what would your go-to flavor be?",Negative,Tag the crew you can count on help you finish all of this.,Positive
Meet #ShakeSauce — a sweet new way to dip.,Positive, We're not a robot. #SmokySrirachaWings,Neutral
A sweet new way to dip is coming your way this April.,Positive,"If you’re looking for a sign to order pizza for the game today, this is it. #NFL",Positive
"NINE DAYS left to enter for a chance to win the amazing, custom, power reclining McDelivery Couch by @LaZBoy. Tweet which craveable McDonald’s favorites you’d want delivered couch side, tagging #McDeliverySweepstakes, @McDonalds and @UberEats. Rules: http://mcd.to/6015EwU1W ",Positive,"Why, what's on YOUR mind?",Positive
"Behold the McDelivery Couch, where light up cup holders allow your fountain beverage to join the party. Tweet the McDonald’s menu items you’d want delivered couch side, tagging #McDeliverySweepstakes, @McDonalds & @UberEats for a chance to win it. Rules: http://mcd.to/6011Ekf4N ",Negative,"Us: How many orders of cookies do you want?
You: It’s #NationalCookieDay just go crazy.",Positive
" Last chance to get your tickets to see the best players in the game live in Atlanta, tomorrow 3/27, w/ a special live halftime performance from @Migos! Tix --> http://Mcd.to/2019McDAAGTick …  #WhereTheFutureStarts⁠ ⁠",Positive,Make money this #CyberMonday don’t spend it.,Positive
"The McDelivery Couch gives your squad prime McNugget dunking position w/ power back, leg and headrests. Tweet the McDonald’s menu items you’d want delivered couch side, tagging #McDeliverySweepstakes, @McDonalds & @UberEats for a chance to win it. Rules: http://mcd.to/6015EkADL ",Positive,Doug and Karen with their #BlackFriday haul.,Neutral
"Kick back on the best seat in the house, the McDelivery Couch! @TreyNKennedy is rooting for YOU to win! Tweet the McDonald’s menu items you’d want delivered couch side and tag #McDeliverySweepstakes, @McDonalds and @UberEats for a chance to win. Rules: http://mcd.to/6019EkA8f ",Positive,"Hey, quick creamy question:",Positive
McDonald's All American Games is about giving back off the court and dominating on it  That's why we started the week at @ARMHC  For more check out @McDAAG  #WhereTheFutureStarts,Positive,"Eating pie while baking pie like:

      
     \__|__/
          |
        /   \
     _/     \_",Neutral
Two words: Happy Meal #BestPartOfBeingAKidWas,Negative,Getting ready to take down this entire pizza like,Positive
"Don't cry over spilled McFlurry! Tune into a game on the McDelivery Couch w/ @LaZBoy iClean stain-resistant fabric! Tweet the McDonald’s menu item you’d want Uber Eats to deliver & tag #McDeliverySweepstakes, @McDonalds & @UberEats to enter to win. Rules: http://mcd.to/6015EZM1X ",Positive,Friendsgiving aftermath,Neutral
Have a dream career? The skills you learn in the restaurants will help you get there! See how we paired 5 restaurant employees w/ @jaltucher @tyleroakley @kukharrell @drmeenasingh & Owner/Operator Dennis Cha for a career shadow day: http://mcd.to/6006EZHwM  #SkillsToGetYouThere,Positive,One gotta go forever ,Negative
Today is #InternationalDayOfHappiness. AKA any day you get more than one bonus fry in your bag.,Positive,"Our 5 love languages: 

Words of affirmation: Cheez-It Pizza is so good
Acts of service: I'll bring you Cheez-It Pizza
Receiving gifts: I bought you Cheez-It Pizza 
Quality time: Let's get Cheez-It Pizza
Physical touch: *feeds you Cheez-It Pizza*",Negative
"Chilling w/ the squad has a whole new meaning with the McDelivery Couch’s McFlurry chiller! Enter for a chance to win it by tweeting the McDonald’s menu items you’d want delivered couch side, tagging #McDeliverySweepstakes, @McDonalds and @UberEats. Rules: http://mcd.to/6016Ekg22 ",Positive,Feast your eyes. Stuffed Garlic Knots Pizza is back for a limited time. ,Positive
"To elevate your  game watching, we built a custom @LaZBoy
McDelivery Couch & @TreyNKennedy is here for a sneak peek! Tweet
#McDeliverySweepstakes, @McDonalds & @UberEats with the McDonald’s menu items you'd enjoy couch side for a chance to win. Rules: http://mcd.to/6016EkgQe ",Positive,NOW it’s game time. #NFL #SNF,Positive
 “SHAMROCK SHAKE SEASON IS HERE AND FANS ARE FREAKING OUT”,Positive,What's got y'all heated today? #SmokySrirachaWings,Positive
"We’re proud to be partnering with @womensday to be BETTER TOGETHER, as we are committed to inspiring workplaces where everyone is equally supported and empowered to realize their full potential. Learn what we’ve building to #BalanceForBetter at: http://McD.To/BalanceForBetter …",Positive,When you get too excited talking about your lineup .,Negative
"Last year, we flipped our Arches for International @WomensDay. This year, we’re announcing a new BETTER TOGETHER: Gender Balance and Diversity strategy. Learn more: http://McD.To/McDWomen  #BalanceForBetter #IWD2019",Positive,"Relationship Status:
• Single
• Taken
• Addicted to Cheez-It Pizza",Neutral
Restaurant employee Clare spent the day w/ @drmeenasingh as part of our “Where You Want To Be” program to see how the skills she’s learning on the job are preparing her for a future career in healthcare. Watch the full story: http://mcd.to/6001Eno8H  #SkillsToGetYouThere,Positive,Something delicious is coming back .,Positive
Restaurant employee Taylor spent the day w/ Owner/Operator Dennis Cha for our “Where You Want To Be” program. The skills she’s learning today can help fulfill her dream of becoming an Owner/Operator tomorrow. Watch her story here: http://McD.to/6004EnXiO  #SkillsToGetYouThere,Positive,We all know someone who does this. Tag them below.,Positive
The premier game just got even more talent...@Migos is performing at this year’s @McDAAG  Get your tickets now to see them AND the best  players in the game! #WhereTheFutureStarts,Positive,Tailgating is a full time job. #CollegeGameDay,Positive
Restaurant employee Ayana spent the day w/ music producer & McDonald’s alum @KukHarrell for our “Where You Want To Be” program. See how the skills she’s learning in the restaurant come to life in the studio. Watch full story: http://McD.to/6005EVEol  #SkillsToGetYouThere,Positive,You can eat your crust first as an act of rebellion if you want.,Positive
"As part of our “Where You Want To Be” program, restaurant employee Kaila spent the day w/ @TylerOakley to see how the skills she’s learning in the restaurant can help her get to where she wants to be. Watch full vid here: http://McD.to/6001ETsXF  #SkillsToGetYouThere",Positive,The only dependable man in my life:,Neutral
"Our ""Where You Want To Be"" program gave restaurant employee Billy the chance to spend the day w/ @jaltucher to talk about how the skills he’s learning on the job can lead to a career in IT. Watch full story: http://McD.to/6004ErSqC  #SkillsToGetYouThere",Positive,Our Smoky Sriracha wings are lit. ,Neutral
The minty moment you’ve been waiting for is finally here: the Shamrock Shake is back! Find one near you on our App. #ShamrockShakeSZN Only at part. McDonald’s for a limited time.,Positive,Game day hack: get your beer delivered with your pizza and you won't have to leave the living room. ,Positive
"Egg McMuffin and a hash brown, even if it’s 11 o’clock…PM #BreakfastMustHaves",Positive,When you show up to the #Halloween party and there's no pizza.,Positive
Get $5 off your McDelivery order on Uber Eats using code BIGGAME19. But the deal only lasts ’til 2/4 so hurry up and order now!,Positive,When it’s trick-or-treaters and not the delivery driver.,Neutral
"*Opens weather app*
*Immediately closes and opens @UberEats to order #McDelivery* 
#polarvortex",Positive,"pineapple         candy corn
on pizza
                    hated for no reason",Positive
The top high school basketball players in the country are HERE  Literally. Check out the players who made the 2019 McDonald’s All American Games  Get your tickets now to see them in Atlanta! http://McD.to/McDAAG2019  #WhereTheFutureStarts @McDAAG,Positive,I ordered pizza for the game.,Positive
"As part of our “Where You Want To Be” initiative, we’re pairing up McD’s restaurant employees w/ industry experts @TylerOakley @Jaltucher @KukHarrell & Owner/Operator Dennis Cha for a shadow day experience. Meet the crew:  https://news.mcdonalds.com/stories/our-people-details/where-you-want-to-be-influencers … #SkillsToGetYouThere",Positive,"Friend: hey can I see your phone
Us: uhh yeah one sec",Positive
"The 2019 @McDAAG have OVER 8-0-0 nominees! That’s
800+ high school boys and girls, across the country, being
recognized for their hard work on the court. Zoom in to see
the names or to learn more head to http://McD.to/2019McDAAGNominees …
#WhereTheFutureStarts",Positive,"Eat your veggies, Phoenix. Garden Specialty Pizza drops 10/23 for ONE DAY ONLY at 3602 E Thomas Road. Learn more: http://bit.ly/31BHAtb .",Positive
"The best things in life start with #bacon and…end with more bacon. So starting January 30, you can get bacon on three of our Classics (for a limited time at part. McDs) ",Positive,There is an 'I' in pizza.,Neutral
"Fry lovers, you’re going to want to sit down for this. Right now, you can get medium or small fries for $1. Only on our App.",Positive,Catch the @NFL IG story tonight for #MNF with @TeamJuJu and use code JUJUHOMEGATING for 50% off menu-priced pizzas through 10/22! #PizzaHutHut,Positive
"Introducing the seasoned, savory and satisfying Mushroom & Swiss Burger. It's the newest flavor in the Signature Crafted Recipes collection.",Positive,The perfect man doesn’t exi—,Positive
"Introducing the seasoned, savory and satisfying Mushroom & Swiss Burger. It's the newest flavor in the Signature Crafted Recipes collection.",Positive,Ordur while yuo can still remembmer ur addresss.   #collegefootball,Positive
"Calling all McDonald’s restaurant employees! Tell us about the skills you’re learning on the job for a chance to spend the day w/ @tyleroakley, who got his start at a McD’s restaurant, and other industry pros. Details -> https://news.mcdonalds.com/stories/our-people-details/where-you-want-to-be-2018 … #SkillsToGetYouThere",Positive,Asking their favorite topping is a vibe check.,Positive
"By 2050, the land area suitable for coffee farming is expected to be cut in half. Learn what we're doing to help offset this threat, and feel good about grabbing your next cup of delicious #McCafé coffee!  
#ScaleForGood http://McD.to/SustainableCoffeeStory …",Positive,Eat pizza not people.  #ZombielandDoubleTap,Positive
"Put your pocket change to work this #GivingTuesday! Today and every day thru 12/9, make a $1, $3 or $5 donation to @RMHC and give the best  of all: togetherness. Learn more -> http://mcd.to/RMHCFundraiser ",Positive,"If you haven't sucked up enough yet, use code BROWNNOSE at checkout to get 30% off a menu priced pizza for the boss.  One day only, online only. #NationalBossDay",Positive
We connected with some of Chi-town’s most creative visual artists @JoeFreshgoods & @Swopes for an exclusive collab during #ComplexCon weekend! Check out their first meeting & their inspiration for the collab.,Positive,Tag a friend so they have to open their phone and look at a picture of our new Smoky Sriracha Wings.,Positive
"Where can the #skills learned @McDonalds restaurants take people? The ""Where You Want to Be” campaign will help connect restaurant employees to what’s next in their #careers. Learn more about the #SkillsToGetYouThere: http://McD.to/6011Dh3ZF ",Positive,"Kiss, marry, kill #NationalDessertDay edition. Go off in the comments.",Positive
The #McRib is officially back! Check out the McDonald’s Finder App to see if there’s one near you. Available for iOS and Android.,Negative,The @NFL Hut of the Week is looking almost as good as the $5’N Up Lineup. #PizzaHutHut,Positive
"It's official, we're coming back to ATL  And to celebrate, Atlanta artist Travis Love combined his city with  on these 

Wanna be there in March ‘19? Get tickets here: http://mcd.to/6019D7Nlc  #WhereTheFutureStarts",Positive,Real recognizing real #TreatYoSelfDay #CheezItPizza,Neutral
"It's going to be a fun weekend with two @McDonalds cars on-track! Have you played #TrickTreatWin yet?

#TeamJMac | #TeamLarson",Positive,We like it hot .,Neutral
"We’re excited to announce our classic burgers have no artificial preservatives, no artificial flavors and no added colors from artificial sources! Our pickle contains an artificial preservative, so skip it if you like. Changes you can feel good about!  http://McD.to/6013D2LnP ",Positive,"8 am: bake 
9 am:
10 am:
11 am: tailgate
12 pm: pizza + wings
1 pm:
2 pm: kickoff 
3 pm:
4 pm:
5 pm: 
6 pm:
7 pm:
8 pm: naps
9 pm:
10 pm: leftover 
11 pm:
12 am:",Positive
Big Mac and Classic Chicken Sandwich? 10 pc. McNuggets and Filet-O-Fish? Everybody wins with the 2 for $5 Mix & Match Deal.,Negative,We demand that no more pizzas be harmed in the making of #ElCamino.,Positive
